DZA AGO GNB GRL GLP BGR BHR BLZ GUY AUS DOM CUW DNK ARE ALB ARG ARM ALB ARE DNK CUW DOM BHS BRB BHS BIH BRN COD CAN CIV COL EST GGY FRO FRA GBR ESH ECU FJI ESH EGY FSM GIB FIN AFG FIN ESP GAB FIN GIB FSM GIB GGY ETH EST GUY GUM GRD GNQ AUT GUY GTM GUY GRC BRA BLM BFA BGD BOL BLR CCK CMR CHL BWA CMR CCK BLR BES BLM BRA BHS BMU BDI BEL AZE BGR GLP GNB HND DMA ATA ATF ASM CYP DEU CXR CYM CYP CHN CAF CHN CYP CYM CZE CYP ASM ATA DMA HND GNB AGO DZA
44
HND HND GEO
GTM HMD COG
GRL HKG
GRD GRD
GRC GRC
GNQ GNQ
GLP GLP
FSM GHA FSM
GBR GBR
FRO FRO
FRA FRA
FIN FLK FIN
GGY ERI
ECU ECU
DOM DOM
DNK DNK
DMA DJI
CZE CZE
CYM CYM
CXR CXR
CUW CUW
GUY CUB
COD COD
CIV CHE
CCK CCK
CAN CAN
CAF CAF BVT
BRN BRN
BRB BRB
BLR BLR BEN
BLM BLM
BHS BHS
BGD BGD
BFA BFA
BES BES
BDI BDI
AUS AUS
ATF ATF
ATA ATA
ARG ARG
ARE ARE
ESP AND
ALB ALB
AFG ABW
