Soda Pitzer Morgan Soda HearstFieldAnnex DoeLibrary Soda Wurster Bowles Soda McCone Blackwell Soda EdwardsStadium BarkerHall Soda Simon Stern Soda Wellman Senior Soda Stanley Observatory Soda Koshland MLK Soda Wheeler Hildebrand Soda LeConte Jacobs Soda SproulPlaza HearstMiningCircle Soda Foothill Giannini Soda HaasPavilion Etcheverry Soda Insectary Moses Cheit Soda Campbell Bechtel KrutchTheater LifeSciences Bechtel ClarkKerr Dwinelle Bechtel Soda
23
Bechtel Boalt
Cheit Cheit
Dwinelle Dwinelle
Giannini Giannini
Soda Haste Hertz
LifeSciences LifeSciences
Jacobs Jacobs
Hildebrand Hildebrand
Moses Moses
Senior Senior
Stern Stern
Wheeler Wheeler
Blackwell Blackwell
Bowles Bowles
DoeLibrary DoeLibrary
Foothill Foothill
HaasPavilion HaasPavilion
Koshland Koshland
McCone McCone
Morgan Morgan
Pitzer Pitzer
Stanley Stanley
Wellman Wellman
